agent_id,cycle5_mean,final_mean,delta
01-file-organizer,8.3,9.1,0.8
02-research-assistant,7.9,9.0,1.1
03-code-review-agent,8.2,9.1,0.9
04-migration-planner,8.1,9.1,1.0
05-db-admin-agent,8.0,9.2,1.2
06-learning-tutor,7.8,9.0,1.2
07-incident-responder,7.5,9.0,1.5
08-api-test-generator,7.6,9.0,1.4
09-docs-maintainer,7.7,9.0,1.3
10-support-triage,7.9,9.0,1.1
11-context-engineer,7.5,9.0,1.5
12-streaming-pipeline,7.4,9.0,1.6
13-cost-optimizer,7.8,9.1,1.3
14-self-improver,7.6,9.0,1.4
15-a2a-coordinator,7.5,9.0,1.5
16-parallel-executor,7.4,9.1,1.7
17-eval-agent,7.5,9.0,1.5
18-security-hardened,7.6,9.1,1.5
19-workflow-orchestrator,7.5,9.1,1.6
20-knowledge-graph,7.2,9.0,1.8
